NPI,First_Name,Last_Name,License_Number,Network,Address,City,County,State,Zip_Code ,Phone_Number,Fax_Number,Specialty ,Date_Survey,Time_Survey,Survey_Completed,Urgent_Appointment_Date ,Urgent_Appointment_Time,Urg_Appt_Status,Non_Urgent_Appointment_Date, Non_Urgent_Appointment_Time,Non_Urg_Appt_Status
60-4725350,Christine,White,846-09-0703,KY Medicaid,820 Barker Rapids Suite 205,Owensboro,Daviess,Kentucky,42301,2708870100,2708831000,Internal Medicine,3/3/22,8:00 AM,Yes,3/7/22,1:00 PM,Noncompliant,4/18/22,8:45 AM,Noncompliant
65-3410661,Erika,Harvey,396-15-9512,KY Medicaid,1697 Hudson Fords Suite 643,Louisville,Jefferson,Kentucky,40202,2707264011,2707242300,General Practice,2/18/22,2:30 PM,Yes,3/4/22,1:30 PM,Noncompliant,4/4/22,7:00 AM,Noncompliant
34-7152725,Sheila,Lopez,729-98-8374,KY Medicaid,83106 Delgado Land,Lexington,Fayette,Kentucky,40509,2702421100,2702481212,Pediatrics,2/18/22,10:30 AM,Yes,3/16/22,7:00 AM,Noncompliant,4/13/22,1:00 PM,Noncompliant
87-7604185,Kathryn,Roberts,335-31-3903,KY Medicaid,5294 Yates Squares,Lexington,Fayette,Kentucky,40509,2707371212,2707342511,General Practice,2/21/22,7:30 AM,Yes,3/15/22,4:00 PM,Noncompliant,3/22/22,8:00 AM,Compliant
46-0864476,Raymond,Morris,148-35-9801,KY Medicaid,46334 Margaret Field Suite 322,Lexington,Fayette,Kentucky,40509,2708255100,2708297441,Pediatrics,3/11/22,2:00 PM,Yes,3/15/22,3:00 PM,Noncompliant,3/28/22,8:45 AM,Compliant
68-9404995,Teresa,Mitchell,027-88-4651,KY Medicaid,07792 Joshua Islands Suite 466,Frankfort,Franklin,Kentucky,40601,2703876421,2703899400,General Practice,3/16/22,10:30 AM,Yes,3/18/22,8:45 AM,Compliant,4/22/22,7:30 AM,Noncompliant
1003185679,DESAI,RIMA,055-07-6609,KY Medicaid,2876 Allen Via Suite 166,Bowling Green,Warren,Kentucky,42101,2704084401,2704062191,Family Medicine,2/28/22,2:30 PM,Yes,3/9/22,3:00 PM,Noncompliant,3/25/22,4:00 PM,Compliant
80-2789328,Renee,Edwards,170-85-1863,KY Medicaid,90764 Eric Gateway,Lexington,Fayette,Kentucky,40509,2708755240,2708781100,Internal Medicine,2/24/22,2:00 PM,Yes,2/25/22,8:45 AM,Compliant,2/28/22,2:30 PM,Compliant
54-7026256,Amy,Pierce,758-76-1602,KY Medicaid,23361 Michael Mills Suite 354,Bowling Green,Warren,Kentucky,42101,2709866500,2709862101,Pediatrics,3/21/22,1:00 PM,Yes,3/21/22,8:00 AM,Compliant,4/22/22,9:00 AM,Noncompliant
1013368596,LONG,DANIEL,170-31-5116,KY Medicaid,16683 Lindsey Loop Suite 427,Bowling Green,Warren,Kentucky,42101,2702225388,2702270100,Family Medicine,2/18/22,1:00 PM,Yes,3/7/22,2:00 PM,Noncompliant,4/18/22,8:00 AM,Noncompliant
41-3414820,Randy,Petersen,829-46-4615,KY Medicaid,20278 Megan Circles,Bowling Green,Warren,Kentucky,42101,2707324321,2707364011,Obstetrics/Gynecology,3/3/22,2:00 PM,Yes,3/17/22,2:30 PM,Noncompliant,5/12/22,1:30 PM,Noncompliant
05-8911925,Linda,Woods,591-26-6890,KY Medicaid,06676 Jensen Village Suite 635,Frankfort,Franklin,Kentucky,40601,2704172000,2704121100,Family Medicine,3/14/22,1:30 PM,Yes,3/15/22,9:00 AM,Compliant,5/11/22,1:00 PM,Noncompliant
34-1111121,David,White,356-05-2894,KY Medicaid,21092 Tracy Field,Lexington,Fayette,Kentucky,40509,2709324211,2709371212,Pediatrics,3/17/22,7:00 AM,Yes,3/21/22,8:45 AM,Noncompliant,4/20/22,2:00 PM,Noncompliant
1003027228,MARTINDALE,SEAN,941596860,KY Medicaid,834 E Broadway,Louisville,Kenton,Kentucky,40204,2705623000,2705655100,Obstetrics/Gynecology,3/14/22,9:00 AM,Yes,3/15/22,2:30 PM,Compliant,4/11/22,1:00 PM,Compliant
46-0562472,Paul,Hansen,732-34-7271,KY Medicaid,717 Tyler Place Suite 151,Owensboro,Daviess,Kentucky,42301,2705274800,2705276421,Obstetrics/Gynecology,3/7/22,9:00 AM,Yes,3/7/22,3:00 PM,Compliant,3/28/22,2:30 PM,Compliant
64-2267883,Brian,Malone,524-70-4338,KY Medicaid,4153 Victoria Roads Suite 681,Bowling Green,Warren,Kentucky,42101,2703489343,2703484401,General Practice,3/15/22,1:00 PM,Yes,3/17/22,8:00 AM,Compliant,3/31/22,2:00 PM,Compliant
93-6170872,Yesenia,Kaiser,862-07-4902,KY Medicaid,7051 Joseph Parkways Suite 230,Bowling Green,Warren,Kentucky,42101,2703650300,2703655240,Family Medicine,3/9/22,1:00 PM,Yes,3/18/22,9:00 AM,Noncompliant,4/19/22,9:00 AM,Noncompliant
02-9136921,Maria,Johnson,764-03-2207,KY Medicaid,78918 Ramirez Route,Bowling Green,Warren,Kentucky,42101,2706389451,2706366500,Internal Medicine,3/8/22,8:00 AM,Yes,3/18/22,8:30 AM,Noncompliant,5/12/22,8:45 AM,Noncompliant
